British name,Scientific name,Thumbnail,Images,Description
Capercaillie,Tetrao urogallus,,,
Black Grouse,Lyrurus tetrix,,,
Ptarmigan,Lagopus muta,,,
Red Grouse,Lagopus lagopus,,,
Red-legged Partridge,Alectoris rufa,,,
Grey Partridge,Perdix perdix,,,
Quail,Coturnix coturnix,,,
Pheasant,Phasianus colchicus,,,
Golden Pheasant,Chrysolophus pictus,,,
Lady Amherst's Pheasant,Chrysolophus amherstiae,,,
Brent Goose,Branta bernicla,,,
Red-breasted Goose,Branta ruficollis,,,
Canada Goose,Branta canadensis,,,
Barnacle Goose,Branta leucopsis,,,
Cackling Goose,Branta hutchinsii,,,
Snow Goose,Anser caerulescens,,,
Greylag Goose,Anser anser,,,
Taiga Bean Goose,Anser fabalis,,,
Pink-footed Goose,Anser brachyrhynchus,,,
Tundra Bean Goose,Anser serrirostris,,,
White-fronted Goose,Anser albifrons,,,
Lesser White-fronted Goose,Anser erythropus,,,
Mute Swan,Cygnus olor,,,
Bewick's Swan,Cygnus columbianus,,,
Whooper Swan,Cygnus cygnus,,,
Egyptian Goose,Alopochen aegyptiaca,,,
Shelduck,Tadorna tadorna,,,
Ruddy Shelduck,Tadorna ferruginea,,,
Mandarin Duck,Aix galericulata,,,
Baikal Teal,Sibirionetta formosa,,,
Garganey,Spatula querquedula,,,
Blue-winged Teal,Spatula discors,,,
Shoveler,Spatula clypeata,,,
Gadwall,Mareca strepera,,,
Falcated Duck,Mareca falcata,,,
Wigeon,Mareca penelope,,,
American Wigeon,Mareca americana,,,
Mallard,Anas platyrhynchos,,,
Black Duck,Anas rubripes,,,
Pintail,Anas acuta,,,
Teal,Anas crecca,,,
Green-winged Teal,Anas carolinensis,,,
Red-crested Pochard,Netta rufina,,,
Canvasback,Aythya valisineria,,,
Redhead,Aythya americana,,,
Pochard,Aythya ferina,,,
Ferruginous Duck,Aythya nyroca,,,
Ring-necked Duck,Aythya collaris,,,
Tufted Duck,Aythya fuligula,,,
Scaup,Aythya marila,,,
Lesser Scaup,Aythya affinis,,,
Steller's Eider,Polysticta stelleri,,,
King Eider,Somateria spectabilis,,,
Eider,Somateria mollissima,,,
Harlequin Duck,Histrionicus histrionicus,,,
Surf Scoter,Melanitta perspicillata,,,
Velvet Scoter,Melanitta fusca,,,
White-winged Scoter,Melanitta deglandi,,,
Common Scoter,Melanitta nigra,,,
Black Scoter,Melanitta americana,,,
Long-tailed Duck,Clangula hyemalis,,,
Bufflehead,Bucephala albeola,,,
Goldeneye,Bucephala clangula,,,
Barrow's Goldeneye,Bucephala islandica,,,
Smew,Mergellus albellus,,,
Hooded Merganser,Lophodytes cucullatus,,,
Goosander,Mergus merganser,,,
Red-breasted Merganser,Mergus serrator,,,
Ruddy Duck,Oxyura jamaicensis,,,
Common Nighthawk,Chordeiles minor,,,
Red-necked Nightjar,Caprimulgus ruficollis,,,
Nightjar,Caprimulgus europaeus,,,
Egyptian Nightjar,Caprimulgus aegyptius,,,
White-throated Needletail,Hirundapus caudacutus,,,
Chimney Swift,Chaetura pelagica,,,
Alpine Swift,Tachymarptis melba,,,
Swift,Apus apus,,,
Pallid Swift,Apus pallidus,,,
Pacific Swift,Apus pacificus,,,
Little Swift,Apus affinis,,,
White-rumped Swift,Apus caffer,,,
Great Bustard,Otis tarda,,,
Macqueen's Bustard,Chlamydotis macqueenii,,,
Little Bustard,Tetrax tetrax,,,
Great Spotted Cuckoo,Clamator glandarius,,,
Yellow-billed Cuckoo,Coccyzus americanus,,,
Black-billed Cuckoo,Coccyzus erythropthalmus,,,
Cuckoo,Cuculus canorus,,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,,,
Rock Dove,Columba livia,,,
Stock Dove,Columba oenas,,,
Woodpigeon,Columba palumbus,,,
Turtle Dove,Streptopelia turtur,,,
Oriental Turtle Dove,Streptopelia orientalis,,,
Collared Dove,Streptopelia decaocto,,,
Mourning Dove,Zenaida macroura,,,
Water Rail,Rallus aquaticus,,,
Corncrake,Crex crex,,,
Sora Rail,Porzana carolina,,,
Spotted Crake,Porzana porzana,,,
Moorhen,Gallinula chloropus,,,
Coot,Fulica atra,,,
American Coot,Fulica americana,,,
Allen's Gallinule,Porphyrio alleni,,,
American Purple Gallinule,Porphyrio martinica,,,
Western Swamphen,Porphyrio porphyrio,,,
Baillon's Crake,Zapornia pusilla,,,
Little Crake,Zapornia parva,,,
Sandhill Crane,Antigone canadensis,,,
Crane,Grus grus,,,
Little Grebe,Tachybaptus ruficollis,,,
Pied-billed Grebe,Podilymbus podiceps,,,
Red-necked Grebe,Podiceps grisegena,,,
Great Crested Grebe,Podiceps cristatus,,,
Slavonian Grebe,Podiceps auritus,,,
Black-necked Grebe,Podiceps nigricollis,,,
Stone-curlew,Burhinus oedicnemus,,,
Oystercatcher,Haematopus ostralegus,,,
Black-winged Stilt,Himantopus himantopus,,,
Avocet,Recurvirostra avosetta,,,
Lapwing,Vanellus vanellus,,,
Sociable Plover,Vanellus gregarius,,,
White-tailed Plover,Vanellus leucurus,,,
Golden Plover,Pluvialis apricaria,,,
Pacific Golden Plover,Pluvialis fulva,,,
American Golden Plover,Pluvialis dominica,,,
Grey Plover,Pluvialis squatarola,,,
Ringed Plover,Charadrius hiaticula,,,
Semipalmated Plover,Charadrius semipalmatus,,,
Little Ringed Plover,Charadrius dubius,,,
Killdeer,Charadrius vociferus,,,
Kentish Plover,Charadrius alexandrinus,,,
Lesser Sand Plover,Charadrius mongolus,,,
Greater Sand Plover,Charadrius leschenaultii,,,
Caspian Plover,Charadrius asiaticus,,,
Dotterel,Charadrius morinellus,,,
Upland Sandpiper,Bartramia longicauda,,,
Whimbrel,Numenius phaeopus,,,
Hudsonian Whimbrel,Numenius hudsonicus,,,
Little Whimbrel,Numenius minutus,,,
Eskimo Curlew,Numenius borealis,,,
Curlew,Numenius arquata,,,
Bar-tailed Godwit,Limosa lapponica,,,
Black-tailed Godwit,Limosa limosa,,,
Hudsonian Godwit,Limosa haemastica,,,
Turnstone,Arenaria interpres,,,
Great Knot,Calidris tenuirostris,,,
Knot,Calidris canutus,,,
Ruff,Calidris pugnax,,,
Broad-billed Sandpiper,Calidris falcinellus,,,
Sharp-tailed Sandpiper,Calidris acuminata,,,
Stilt Sandpiper,Calidris himantopus,,,
Curlew Sandpiper,Calidris ferruginea,,,
Temminck's Stint,Calidris temminckii,,,
Long-toed Stint,Calidris subminuta,,,
Red-necked Stint,Calidris ruficollis,,,
Sanderling,Calidris alba,,,
Dunlin,Calidris alpina,,,
Purple Sandpiper,Calidris maritima,,,
Baird's Sandpiper,Calidris bairdii,,,
Little Stint,Calidris minuta,,,
Least Sandpiper,Calidris minutilla,,,
White-rumped Sandpiper,Calidris fuscicollis,,,
Buff-breasted Sandpiper,Calidris subruficollis,,,
Pectoral Sandpiper,Calidris melanotos,,,
Semipalmated Sandpiper,Calidris pusilla,,,
Western Sandpiper,Calidris mauri,,,
Long-billed Dowitcher,Limnodromus scolopaceus,,,
Short-billed Dowitcher,Limnodromus griseus,,,
Woodcock,Scolopax rusticola,,,
Jack Snipe,Lymnocryptes minimus,,,
Great Snipe,Gallinago media,,,
Snipe,Gallinago gallinago,,,
Wilson's Snipe,Gallinago delicata,,,
Terek Sandpiper,Xenus cinereus,,,
Wilson's Phalarope,Phalaropus tricolor,,,
Red-necked Phalarope,Phalaropus lobatus,,,
Grey Phalarope,Phalaropus fulicarius,,,
Common Sandpiper,Actitis hypoleucos,,,
Spotted Sandpiper,Actitis macularius,,,
Green Sandpiper,Tringa ochropus,,,
Solitary Sandpiper,Tringa solitaria,,,
Grey-tailed Tattler,Tringa brevipes,,,
Lesser Yellowlegs,Tringa flavipes,,,
Redshank,Tringa totanus,,,
Marsh Sandpiper,Tringa stagnatilis,,,
Wood Sandpiper,Tringa glareola,,,
Spotted Redshank,Tringa erythropus,,,
Greenshank,Tringa nebularia,,,
Greater Yellowlegs,Tringa melanoleuca,,,
Cream-coloured Courser,Cursorius cursor,,,
Collared Pratincole,Glareola pratincola,,,
Oriental Pratincole,Glareola maldivarum,,,
Black-winged Pratincole,Glareola nordmanni,,,
Kittiwake,Rissa tridactyla,,,
Ivory Gull,Pagophila eburnea,,,
Sabine's Gull,Xema sabini,,,
Slender-billed Gull,Chroicocephalus genei,,,
Bonaparte's Gull,Chroicocephalus philadelphia,,,
Black-headed Gull,Chroicocephalus ridibundus,,,
Little Gull,Hydrocoloeus minutus,,,
Ross's Gull,Rhodostethia rosea,,,
Laughing Gull,Leucophaeus atricilla,,,
Franklin's Gull,Leucophaeus pipixcan,,,
Audouin's Gull,Ichthyaetus audouinii,,,
Mediterranean Gull,Ichthyaetus melanocephalus,,,
Great Black-headed Gull,Ichthyaetus ichthyaetus,,,
Common Gull,Larus canus,,,
Ring-billed Gull,Larus delawarensis,,,
Great Black-backed Gull,Larus marinus,,,
Glaucous-winged Gull,Larus glaucescens,,,
Glaucous Gull,Larus hyperboreus,,,
Iceland Gull,Larus glaucoides,,,
Herring Gull,Larus argentatus,,,
American Herring Gull,Larus smithsonianus,,,
Caspian Gull,Larus cachinnans,,,
Yellow-legged Gull,Larus michahellis,,,
Slaty-backed Gull,Larus schistisagus,,,
Lesser Black-backed Gull,Larus fuscus,,,
Gull-billed Tern,Gelochelidon nilotica,,,
Caspian Tern,Hydroprogne caspia,,,
Royal Tern,Thalasseus maximus,,,
Lesser Crested Tern,Thalasseus bengalensis,,,
Sandwich Tern,Thalasseus sandvicensis,,,
Cabot's Tern,Thalasseus acuflavidus,,,
Elegant Tern,Thalasseus elegans,,,
Little Tern,Sternula albifrons,,,
Least Tern,Sternula antillarum,,,
Aleutian Tern,Onychoprion aleuticus,,,
Bridled Tern,Onychoprion anaethetus,,,
Sooty Tern,Onychoprion fuscatus,,,
Roseate Tern,Sterna dougallii,,,
Common Tern,Sterna hirundo,,,
Arctic Tern,Sterna paradisaea,,,
Forster's Tern,Sterna forsteri,,,
Whiskered Tern,Chlidonias hybrida,,,
White-winged Black Tern,Chlidonias leucopterus,,,
Black Tern,Chlidonias niger,,,
Great Skua,Stercorarius skua,,,
Pomarine Skua,Stercorarius pomarinus,,,
Arctic Skua,Stercorarius parasiticus,,,
Long-tailed Skua,Stercorarius longicaudus,,,
Little Auk,Alle alle,,,
Brünnich's Guillemot,Uria lomvia,,,
Common Guillemot,Uria aalge,,,
Razorbill,Alca torda,,,
Great Auk,Pinguinus impennis,,,
Black Guillemot,Cepphus grylle,,,
Long-billed Murrelet,Brachyramphus perdix,,,
Ancient Murrelet,Synthliboramphus antiquus,,,
Puffin,Fratercula arctica,,,
Tufted Puffin,Fratercula cirrhata,,,
Red-billed Tropicbird,Phaethon aethereus,,,
Red-throated Diver,Gavia stellata,,,
Black-throated Diver,Gavia arctica,,,
Pacific Diver,Gavia pacifica,,,
Great Northern Diver,Gavia immer,,,
White-billed Diver,Gavia adamsii,,,
Wilson's Petrel,Oceanites oceanicus,,,
White-faced Storm Petrel,Pelagodroma marina,,,
Black-browed Albatross,Thalassarche melanophris,,,
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,,,
Storm Petrel,Hydrobates pelagicus,,,
Swinhoe's Petrel,Oceanodroma monorhis,,,
Leach's Petrel,Oceanodroma leucorhoa,,,
Fulmar,Fulmarus glacialis,,,
Black-capped Petrel,Pterodroma hasitata,,,
Scopoli's Shearwater,Calonectris diomedea,,,
Cory's Shearwater,Calonectris borealis,,,
Sooty Shearwater,Ardenna grisea,,,
Great Shearwater,Ardenna gravis,,,
Manx Shearwater,Puffinus puffinus,,,
Yelkouan Shearwater,Puffinus yelkouan,,,
Balearic Shearwater,Puffinus mauretanicus,,,
Barolo Shearwater,Puffinus baroli,,,
Black Stork,Ciconia nigra,,,
White Stork,Ciconia ciconia,,,
Ascension Frigatebird,Fregata aquila,,,
Magnificent Frigatebird,Fregata magnificens,,,
Gannet,Morus bassanus,,,
Red-footed Booby,Sula sula,,,
Cormorant,Phalacrocorax carbo,,,
Shag,Phalacrocorax aristotelis,,,
Double-crested Cormorant,Phalacrocorax auritus,,,
Glossy Ibis,Plegadis falcinellus,,,
Spoonbill,Platalea leucorodia,,,
Bittern,Botaurus stellaris,,,
American Bittern,Botaurus lentiginosus,,,
Little Bittern,Ixobrychus minutus,,,
Night-heron,Nycticorax nycticorax,,,
Green Heron,Butorides virescens,,,
Squacco Heron,Ardeola ralloides,,,
Chinese Pond Heron,Ardeola bacchus,,,
Cattle Egret,Bubulcus ibis,,,
Grey Heron,Ardea cinerea,,,
Great Blue Heron,Ardea herodias,,,
Purple Heron,Ardea purpurea,,,
Great White Egret,Ardea alba,,,
Snowy Egret,Egretta thula,,,
Little Egret,Egretta garzetta,,,
Dalmatian Pelican,Pelecanus crispus,,,
Osprey,Pandion haliaetus,,,
Egyptian Vulture,Neophron percnopterus,,,
Honey-buzzard,Pernis apivorus,,,
Short-toed Eagle,Circaetus gallicus,,,
Spotted Eagle,Clanga clanga,,,
Golden Eagle,Aquila chrysaetos,,,
Sparrowhawk,Accipiter nisus,,,
Goshawk,Accipiter gentilis,,,
Marsh Harrier,Circus aeruginosus,,,
Hen Harrier,Circus cyaneus,,,
Northern Harrier,Circus hudsonius,,,
Pallid Harrier,Circus macrourus,,,
Montagu's Harrier,Circus pygargus,,,
Red Kite,Milvus milvus,,,
Black Kite,Milvus migrans,,,
White-tailed Eagle,Haliaeetus albicilla,,,
Rough-legged Buzzard,Buteo lagopus,,,
Buzzard,Buteo buteo,,,
Barn Owl,Tyto alba,,,
Scops Owl,Otus scops,,,
Snowy Owl,Bubo scandiacus,,,
Tawny Owl,Strix aluco,,,
Hawk Owl,Surnia ulula,,,
Little Owl,Athene noctua,,,
Tengmalm's Owl,Aegolius funereus,,,
Long-eared Owl,Asio otus,,,
Short-eared Owl,Asio flammeus,,,
Hoopoe,Upupa epops,,,
Roller,Coracias garrulus,,,
Kingfisher,Alcedo atthis,,,
Belted Kingfisher,Megaceryle alcyon,,,
Blue-cheeked Bee-eater,Merops persicus,,,
Bee-eater,Merops apiaster,,,
Wryneck,Jynx torquilla,,,
Yellow-bellied Sapsucker,Sphyrapicus varius,,,
Lesser Spotted Woodpecker,Dryobates minor,,,
Great Spotted Woodpecker,Dendrocopos major,,,
Green Woodpecker,Picus viridis,,,
Lesser Kestrel,Falco naumanni,,,
Kestrel,Falco tinnunculus,,,
American Kestrel,Falco sparverius,,,
Red-footed Falcon,Falco vespertinus,,,
Amur Falcon,Falco amurensis,,,
Eleonora's Falcon,Falco eleonorae,,,
Merlin,Falco columbarius,,,
Hobby,Falco subbuteo,,,
Gyr Falcon,Falco rusticolus,,,
Peregrine,Falco peregrinus,,,
Ring-necked Parakeet,Psittacula krameri,,,
Eastern Phoebe,Sayornis phoebe,,,
Acadian Flycatcher,Empidonax virescens,,,
Alder Flycatcher,Empidonax alnorum,,,
Eastern Kingbird,Tyrannus tyrannus,,,
Brown Shrike,Lanius cristatus,,,
Red-backed Shrike,Lanius collurio,,,
Daurian Shrike,Lanius isabellinus,,,
Turkestan Shrike,Lanius phoenicuroides,,,
Long-tailed Shrike,Lanius schach,,,
Lesser Grey Shrike,Lanius minor,,,
Great Grey Shrike,Lanius excubitor,,,
Woodchat Shrike,Lanius senator,,,
Masked Shrike,Lanius nubicus,,,
Yellow-throated Vireo,Vireo flavifrons,,,
Philadelphia Vireo,Vireo philadelphicus,,,
Red-eyed Vireo,Vireo olivaceus,,,
Golden Oriole,Oriolus oriolus,,,
Jay,Garrulus glandarius,,,
Magpie,Pica pica,,,
Nutcracker,Nucifraga caryocatactes,,,
Chough,Pyrrhocorax pyrrhocorax,,,
Jackdaw,Coloeus monedula,,,
Rook,Corvus frugilegus,,,
Carrion Crow,Corvus corone,,,
Hooded Crow,Corvus cornix,,,
Raven,Corvus corax,,,
Waxwing,Bombycilla garrulus,,,
Cedar Waxwing,Bombycilla cedrorum,,,
Coal Tit,Periparus ater,,,
Crested Tit,Lophophanes cristatus,,,
Marsh Tit,Poecile palustris,,,
Willow Tit,Poecile montanus,,,
Blue Tit,Cyanistes caeruleus,,,
Great Tit,Parus major,,,
Penduline Tit,Remiz pendulinus,,,
Bearded Tit,Panurus biarmicus,,,
Woodlark,Lullula arborea,,,
White-winged Lark,Alauda leucoptera,,,
Skylark,Alauda arvensis,,,
Crested Lark,Galerida cristata,,,
Shore Lark,Eremophila alpestris,,,
Short-toed Lark,Calandrella brachydactyla,,,
Bimaculated Lark,Melanocorypha bimaculata,,,
Calandra Lark,Melanocorypha calandra,,,
Black Lark,Melanocorypha yeltoniensis,,,
Lesser Short-toed Lark,Alaudala rufescens,,,
Sand Martin,Riparia riparia,,,
Tree Swallow,Tachycineta bicolor,,,
Purple Martin,Progne subis,,,
Swallow,Hirundo rustica,,,
Crag Martin,Ptyonoprogne rupestris,,,
House Martin,Delichon urbicum,,,
Red-rumped Swallow,Cecropis daurica,,,
American Cliff Swallow,Petrochelidon pyrrhonota,,,
Cetti's Warbler,Cettia cetti,,,
Long-tailed Tit,Aegithalos caudatus,,,
Wood Warbler,Phylloscopus sibilatrix,,,
Western Bonelli's Warbler,Phylloscopus bonelli,,,
Eastern Bonelli's Warbler,Phylloscopus orientalis,,,
Hume's Warbler,Phylloscopus humei,,,
Yellow-browed Warbler,Phylloscopus inornatus,,,
Pallas's Warbler,Phylloscopus proregulus,,,
Radde's Warbler,Phylloscopus schwarzi,,,
Dusky Warbler,Phylloscopus fuscatus,,,
Willow Warbler,Phylloscopus trochilus,,,
Chiffchaff,Phylloscopus collybita,,,
Iberian Chiffchaff,Phylloscopus ibericus,,,
Eastern Crowned Warbler,Phylloscopus coronatus,,,
Green Warbler,Phylloscopus nitidus,,,
Two-barred Greenish Warbler,Phylloscopus plumbeitarsus,,,
Greenish Warbler,Phylloscopus trochiloides,,,
Pale-legged Leaf Warbler,Phylloscopus tenellipes,,,
Arctic Warbler,Phylloscopus borealis,,,
Great Reed Warbler,Acrocephalus arundinaceus,,,
Aquatic Warbler,Acrocephalus paludicola,,,
Sedge Warbler,Acrocephalus schoenobaenus,,,
Paddyfield Warbler,Acrocephalus agricola,,,
Blyth's Reed Warbler,Acrocephalus dumetorum,,,
Reed Warbler,Acrocephalus scirpaceus,,,
Marsh Warbler,Acrocephalus palustris,,,
Thick-billed Warbler,Arundinax aedon,,,
Booted Warbler,Iduna caligata,,,
Sykes's Warbler,Iduna rama,,,
Eastern Olivaceous Warbler,Iduna pallida,,,
Olive-tree Warbler,Hippolais olivetorum,,,
Melodious Warbler,Hippolais polyglotta,,,
Icterine Warbler,Hippolais icterina,,,
Pallas's Grasshopper Warbler,Helopsaltes certhiola,,,
Lanceolated Warbler,Locustella lanceolata,,,
River Warbler,Locustella fluviatilis,,,
Savi's Warbler,Locustella luscinioides,,,
Grasshopper Warbler,Locustella naevia,,,
Fan-tailed Warbler,Cisticola juncidis,,,
Blackcap,Sylvia atricapilla,,,
Garden Warbler,Sylvia borin,,,
Barred Warbler,Curruca nisoria,,,
Lesser Whitethroat,Curruca curruca,,,
Western Orphean Warbler,Curruca hortensis,,,
Eastern Orphean Warbler,Curruca crassirostris,,,
Asian Desert Warbler,Curruca nana,,,
Rüppell's Warbler,Curruca ruppeli,,,
Sardinian Warbler,Curruca melanocephala,,,
Western Subalpine Warbler,Curruca iberiae,,,
Moltoni's Subalpine Warbler,Curruca subalpina,,,
Eastern Subalpine Warbler,Curruca cantillans,,,
Whitethroat,Curruca communis,,,
Spectacled Warbler,Curruca conspicillata,,,
Marmora's Warbler,Curruca sarda,,,
Dartford Warbler,Curruca undata,,,
Firecrest,Regulus ignicapilla,,,
Goldcrest,Regulus regulus,,,
Wren,Troglodytes troglodytes,,,
Red-breasted Nuthatch,Sitta canadensis,,,
Nuthatch,Sitta europaea,,,
Wallcreeper,Tichodroma muraria,,,
Treecreeper,Certhia familiaris,,,
Short-toed Treecreeper,Certhia brachydactyla,,,
Grey Catbird,Dumetella carolinensis,,,
Northern Mockingbird,Mimus polyglottos,,,
Brown Thrasher,Toxostoma rufum,,,
Rose-coloured Starling,Pastor roseus,,,
Starling,Sturnus vulgaris,,,
Siberian Thrush,Geokichla sibirica,,,
White's Thrush,Zoothera aurea,,,
Varied Thrush,Ixoreus naevius,,,
Veery,Catharus fuscescens,,,
Grey-cheeked Thrush,Catharus minimus,,,
Swainson's Thrush,Catharus ustulatus,,,
Hermit Thrush,Catharus guttatus,,,
Wood Thrush,Hylocichla mustelina,,,
Ring Ouzel,Turdus torquatus,,,
Blackbird,Turdus merula,,,
Eyebrowed Thrush,Turdus obscurus,,,
Black-throated Thrush,Turdus atrogularis,,,
Red-throated Thrush,Turdus ruficollis,,,
Naumann's Thrush,Turdus naumanni,,,
Dusky Thrush,Turdus eunomus,,,
Fieldfare,Turdus pilaris,,,
Redwing,Turdus iliacus,,,
Song Thrush,Turdus philomelos,,,
Mistle Thrush,Turdus viscivorus,,,
American Robin,Turdus migratorius,,,
Rufous-tailed Scrub Robin,Cercotrichas galactotes,,,
Spotted Flycatcher,Muscicapa striata,,,
Asian Brown Flycatcher,Muscicapa dauurica,,,
Robin,Erithacus rubecula,,,
Siberian Blue Robin,Larvivora cyane,,,
Rufous-tailed Robin,Larvivora sibilans,,,
Bluethroat,Luscinia svecica,,,
Thrush Nightingale,Luscinia luscinia,,,
Nightingale,Luscinia megarhynchos,,,
White-throated Robin,Irania gutturalis,,,
Siberian Rubythroat,Calliope calliope,,,
Red-flanked Bluetail,Tarsiger cyanurus,,,
Taiga Flycatcher,Ficedula albicilla,,,
Red-breasted Flycatcher,Ficedula parva,,,
Pied Flycatcher,Ficedula hypoleuca,,,
Collared Flycatcher,Ficedula albicollis,,,
Black Redstart,Phoenicurus ochruros,,,
Redstart,Phoenicurus phoenicurus,,,
Moussier's Redstart,Phoenicurus moussieri,,,
Rock Thrush,Monticola saxatilis,,,
Blue Rock Thrush,Monticola solitarius,,,
Whinchat,Saxicola rubetra,,,
Stonechat,Saxicola rubicola,,,
Siberian Stonechat,Saxicola maurus,,,
Stejneger's Stonechat,Saxicola stejnegeri,,,
Wheatear,Oenanthe oenanthe,,,
Isabelline Wheatear,Oenanthe isabellina,,,
Desert Wheatear,Oenanthe deserti,,,
Western Black-eared Wheatear,Oenanthe hispanica,,,
Eastern Black-eared Wheatear,Oenanthe melanoleuca,,,
Pied Wheatear,Oenanthe pleschanka,,,
White-crowned Black Wheatear,Oenanthe leucopyga,,,
Dipper,Cinclus cinclus,,,
House Sparrow,Passer domesticus,,,
Spanish Sparrow,Passer hispaniolensis,,,
Tree Sparrow,Passer montanus,,,
Rock Sparrow,Petronia petronia,,,
Alpine Accentor,Prunella collaris,,,
Siberian Accentor,Prunella montanella,,,
Dunnock,Prunella modularis,,,
Yellow Wagtail,Motacilla flava,,,
Eastern Yellow Wagtail,Motacilla tschutschensis,,,
Citrine Wagtail,Motacilla citreola,,,
Grey Wagtail,Motacilla cinerea,,,
Pied Wagtail,Motacilla alba,,,
Richard's Pipit,Anthus richardi,,,
Blyth's Pipit,Anthus godlewskii,,,
Tawny Pipit,Anthus campestris,,,
Meadow Pipit,Anthus pratensis,,,
Tree Pipit,Anthus trivialis,,,
Olive-backed Pipit,Anthus hodgsoni,,,
Pechora Pipit,Anthus gustavi,,,
Red-throated Pipit,Anthus cervinus,,,
Buff-bellied Pipit,Anthus rubescens,,,
Water Pipit,Anthus spinoletta,,,
Rock Pipit,Anthus petrosus,,,
Chaffinch,Fringilla coelebs,,,
Brambling,Fringilla montifringilla,,,
Evening Grosbeak,Hesperiphona vespertina,,,
Hawfinch,Coccothraustes coccothraustes,,,
Pine Grosbeak,Pinicola enucleator,,,
Bullfinch,Pyrrhula pyrrhula,,,
Trumpeter Finch,Bucanetes githagineus,,,
Common Rosefinch,Carpodacus erythrinus,,,
Greenfinch,Chloris chloris,,,
Twite,Linaria flavirostris,,,
Linnet,Linaria cannabina,,,
Common Redpoll,Acanthis flammea,,,
Lesser Redpoll,Acanthis cabaret,,,
Arctic Redpoll,Acanthis hornemanni,,,
Parrot Crossbill,Loxia pytyopsittacus,,,
Scottish Crossbill,Loxia scotica,,,
Crossbill,Loxia curvirostra,,,
Two-barred Crossbill,Loxia leucoptera,,,
Goldfinch,Carduelis carduelis,,,
Citril Finch,Carduelis citrinella,,,
Serin,Serinus serinus,,,
Siskin,Spinus spinus,,,
Lapland Bunting,Calcarius lapponicus,,,
Snow Bunting,Plectrophenax nivalis,,,
Corn Bunting,Emberiza calandra,,,
Yellowhammer,Emberiza citrinella,,,
Pine Bunting,Emberiza leucocephalos,,,
Rock Bunting,Emberiza cia,,,
Ortolan Bunting,Emberiza hortulana,,,
Cretzschmar's Bunting,Emberiza caesia,,,
Cirl Bunting,Emberiza cirlus,,,
Chestnut-eared Bunting,Emberiza fucata,,,
Little Bunting,Emberiza pusilla,,,
Yellow-browed Bunting,Emberiza chrysophrys,,,
Rustic Bunting,Emberiza rustica,,,
Yellow-breasted Bunting,Emberiza aureola,,,
Chestnut Bunting,Emberiza rutila,,,
Black-headed Bunting,Emberiza melanocephala,,,
Black-faced Bunting,Emberiza spodocephala,,,
Pallas's Reed Bunting,Emberiza pallasi,,,
Reed Bunting,Emberiza schoeniclus,,,
Lark Sparrow,Chondestes grammacus,,,
Dark-eyed Junco,Junco hyemalis,,,
White-crowned Sparrow,Zonotrichia leucophrys,,,
White-throated Sparrow,Zonotrichia albicollis,,,
Savannah Sparrow,Passerculus sandwichensis,,,
Song Sparrow,Melospiza melodia,,,
Eastern Towhee,Pipilo erythrophthalmus,,,
Bobolink,Dolichonyx oryzivorus,,,
Baltimore Oriole,Icterus galbula,,,
Red-winged Blackbird,Agelaius phoeniceus,,,
Brown-headed Cowbird,Molothrus ater,,,
Ovenbird,Seiurus aurocapilla,,,
Northern Waterthrush,Parkesia noveboracensis,,,
Golden-winged Warbler,Vermivora chrysoptera,,,
Black-and-white Warbler,Mniotilta varia,,,
Tennessee Warbler,Leiothlypis peregrina,,,
Common Yellowthroat,Geothlypis trichas,,,
Hooded Warbler,Setophaga citrina,,,
American Redstart,Setophaga ruticilla,,,
Cape May Warbler,Setophaga tigrina,,,
Northern Parula,Setophaga americana,,,
Magnolia Warbler,Setophaga magnolia,,,
Bay-breasted Warbler,Setophaga castanea,,,
Blackburnian Warbler,Setophaga fusca,,,
Yellow Warbler,Setophaga aestiva,,,
Chestnut-sided Warbler,Setophaga pensylvanica,,,
Blackpoll Warbler,Setophaga striata,,,
Yellow-rumped Warbler,Setophaga coronata,,,
Wilson's Warbler,Cardellina pusilla,,,
Summer Tanager,Piranga rubra,,,
Scarlet Tanager,Piranga olivacea,,,
Rose-breasted Grosbeak,Pheucticus ludovicianus,,,
Indigo Bunting,Passerina cyanea,,,
